match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11673958,Barrios Vera T.,barrios-vera-tomas,M,2915,Santiago,"Chillan, Chile",1.91,83,right-handed,2014,265608,646273,132834,103,BAR,Chile,"Barrios Vera, Tomás"
11673962,Tirante T.,tirante-thiago-agustin,M,1519,La Plata,"La Plata, Argentina",1.85,78,right-handed,,249335,430793,221515,123,TIR,Argentina,"Tirante, Thiago Agustin"
11673963,Heide G.,heide-gustavo,M,1177,,Sao Paulo,1.88,,right-handed,,36929,87230,302582,247,HEI,Brazil,"Heide, Gustavo"
11673993,Ajduković D.,ajdukovic-duje,M,1293,"Zagreb, Croatia","Split, Croatia",1.88,75,right-handed,,63678,198866,207081,143,AJD,Croatia,"Ajduković, Duje"
11674000,Escobedo E.,escobedo-ernesto,M,680,"West Covina, CA, USA","Los Angeles, CA, USA",1.85,82,right-handed,2014,84375,1280430,80491,404,ESC,Mexico,"Escobedo, Ernesto"
11674008,Shelbayh A.,shelbayh-abedallah,M,1411,,Amman,1.8,,,,104721,128500,307383,187,SHE,Jordan,"Shelbayh, Abedallah"
11674011,Crawford O.,crawford-oliver,M,442,"Spartanburg, SC","Spartanburg, SC, USA",1.8,84,right-handed,,40191,113045,213057,215,CRA,USA,"Crawford, Oliver"
11674026,Gasquet R.,gasquet-richard,M,5025,"Neuchatel, Switzerland","Beziers, France",1.83,79,right-handed,2002,680075,17234183,14414,76,GAS,France,"Gasquet, Richard"
11674032,Machač T.,machac-tomas,M,2381,Czech republic,"Beroun, Czech Republic",1.83,73,right-handed,,358816,873971,238300,78,MAC,Czech Republic,"Machač, Tomáš"
11674034,Draper J.,draper-jack,M,5892,London,"Sutton, England",1.93,75,left-handed,2018,614923,1519143,258749,61,DRA,United Kingdom,"Draper, Jack"
11674074,Kudermetova V.,kudermetova-veronika,F,5894,"Moscow,Russia","Kazan,Russia",1.75,,right-handed,2012,1347368,5445773,66968,19,KUD,Russia,"Kudermetova, Veronika"
11674103,Ofner S.,ofner-sebastian,M,3736,"Sankt Marein, Austria","Bruck an der Mur, Austria",1.91,81,right-handed,2014,670606,1465668,83397,43,OFN,Austria,"Ofner, Sebastian"
11674105,Korda S.,korda-sebastian,M,7469,"Bradenton, FL, USA","Bradenton, FL, USA",1.96,75,right-handed,,1288192,3552528,195840,24,KOR,USA,"Korda, Sebastian"
11674110,Lehečka J.,lehecka-jiri,M,4688,"Knezmost, Czech Republic","Mlada Boleslav, Czech Republic",1.85,80,right-handed,,1335933,2202383,254742,31,LEH,Czech Republic,"Lehečka, Jiří"
11674111,Ofner S.,ofner-sebastian,M,3736,"Sankt Marein, Austria","Bruck an der Mur, Austria",1.91,81,right-handed,2014,670606,1465668,83397,43,OFN,Austria,"Ofner, Sebastian"
11674112,Mannarino A.,mannarino-adrian,M,5504,"Valletta, Malta","Soisy-sous-Montmorency, France",1.8,79,left-handed,2004,1395263,9479850,15894,22,MAN,France,"Mannarino, Adrian"
11674113,Thiem D.,thiem-dominic,M,30869,"Lichtenwörth, Austria","Wiener Neustadt, Austria",1.85,79,right-handed,2011,628105,25048218,43748,98,THI,Austria,"Thiem, Dominic"
11674114,Griekspoor T.,griekspoor-tallon,M,6435,"Nieuw Vennep, Netherlands","Haarlem, Netherlands",1.88,82,right-handed,2015,1250550,2665675,122368,23,GRI,Netherlands,"Griekspoor, Tallon"
11675440,Humbert U.,humbert-ugo,M,6701,Luxembourg,"Metz, France",1.88,72,left-handed,2016,1213578,4032648,185388,20,HUM,France,"Humbert, Ugo"
11675443,Zverev A.,zverev-alexander,M,49973,"Monte Carlo, Monaco","Hamburg, Germany",1.98,90,right-handed,2013,4017220,31525132,57163,7,ZVE,Germany,"Zverev, Alexander"
11675444,Alcaraz C.,alcaraz-carlos,M,120920,"El Palmar, Murcia, Spain","El Palmar, Murcia, Spain",1.83,68,right-handed,2018,8961193,18819228,275923,2,ALC,Spain,"Alcaraz, Carlos"
11675445,Dimitrov G.,dimitrov-grigor,M,22646,"Monte Carlo, Monaco","Haskovo, Bulgaria",1.91,81,right-handed,2008,2252614,20583691,23581,14,DIM,Bulgaria,"Dimitrov, Grigor"
11675446,Rune H.,rune-holger,M,32906,"Charlottenlund, Denmark","Gentofte, Denmark",1.88,68,right-handed,,3451183,5975340,283070,8,RUN,Denmark,"Rune, Holger"
11675447,Alcaraz C.,alcaraz-carlos,M,120920,"El Palmar, Murcia, Spain","El Palmar, Murcia, Spain",1.83,68,right-handed,2018,8961193,18819228,275923,2,ALC,Spain,"Alcaraz, Carlos"
11675448,Etcheverry T.,etcheverry-tomas-martin,M,5812,La Plata -  Buenos Aires,"La Plata, Argentina",1.96,82,right-handed,,1199150,1863565,169496,30,ETC,Argentina,"Etcheverry, Tomas Martin"
11675449,Zverev A.,zverev-alexander,M,49973,"Monte Carlo, Monaco","Hamburg, Germany",1.98,90,right-handed,2013,4017220,31525132,57163,7,ZVE,Germany,"Zverev, Alexander"
11675450,Nishioka Y.,nishioka-yoshihito,M,4166,"Mie, Japan","Mie, Japan",1.7,64,left-handed,2014,1020169,4723679,59281,47,NIS,Japan,"Nishioka, Yoshihito"
11686269,Kalinina A.,kalinina-anhelina,F,3565,,"Nova Kakhovka, Ukraine",1.8,,right-handed,2013,956712,2481760,90664,27,KAL,Ukraine,"Kalinina, Anhelina"
11686272,Linette M.,linette-magda,F,10931,"Poznan, Poland","Poznan, Poland",1.71,59,right-handed,2009,1538431,4998417,42289,24,LIN,Poland,"Linette, Magda"
11686275,Nosková L.,noskova-linda,F,2930,,"Vsetin, Czech Republic",1.79,,right-handed,,551923,780924,274049,41,NOS,Czech Republic,"Noskova, Linda"
11686276,Kvitová P.,kvitova-petra,F,9210,"Monte Carlo, Monaco","Bilovec, Czech Republic",1.82,70,left-handed,2006,2073651,31043360,19836,14,KVI,Czech Republic,"Kvitová, Petra"
11686281,Yuan Y.,yuan-yue,F,1568,,"Yangzhou, China",1.78,,right-handed,,306940,778908,190996,76,YUA,China,"Yuan, Yue"
11688311,Razeghi A.,razeghi-alexander,M,52,,,,,,,1205,1410,391868,1230,RAZ,USA,"Razeghi, Alexander"
11696863,Bouquier A.,bouquier-arthur,M,173,,Lons le saunier,1.88,,,,8233,44242,267576,704,BOU,France,"Bouquier, Arthur"
11697105,Azarenka V.,azarenka-victoria,F,8736,"Monte Carlo, Monaco","Minsk, Belarus",1.83,70,right-handed,2003,1458663,30542266,19017,22,AZA,Belarus,"Azarenka, Victoria"
11697107,Sabalenka A.,sabalenka-aryna,F,26040,Belarus,"Minsk, Belarus",1.82,,right-handed,2015,6835544,16981303,157754,2,SAB,Belarus,"Sabalenka, Aryna"
